cod_comuna,nombre_comuna,region,poblacion,hombres,mujeres,edad_0_14,edad_15_29,edad_30_44,edad_45_59,edad_60_mas,escolaridad_promedio
10101,Puerto Montt,Los Lagos,277040,136544,140496,51260,62493,68149,52757,42381,10.3
10102,Calbuco,Los Lagos,36474,18374,18100,6428,7348,7516,7613,7569,8.7
10103,Cochamó,Los Lagos,4199,2213,1986,587,645,867,950,1150,8.8
10104,Fresia,Los Lagos,12320,6102,6218,2035,2303,2246,2618,3118,8.5
10105,Frutillar,Los Lagos,22554,11034,11520,4344,4214,5172,4326,4498,9.5
10106,Los Muermos,Los Lagos,17162,8620,8542,2887,3140,3250,3648,4237,8.5
10107,Llanquihue,Los Lagos,18088,8826,9262,3154,3648,3758,3710,3818,9.6
10108,Maullín,Los Lagos,15063,7651,7412,2392,2622,2784,3310,3955,8.7
10109,Puerto Varas,Los Lagos,52942,25814,27128,10650,9160,13558,10368,9206,10.8
10201,Castro,Los Lagos,46997,22832,24165,8213,9382,11277,9628,8497,10.0
10202,Ancud,Los Lagos,40949,19981,20968,6704,7427,8691,8713,9414,9.5
10203,Chonchi,Los Lagos,16078,7896,8182,2720,3023,3690,3511,3134,9.1
10204,Curaco de Vélez,Los Lagos,3662,1774,1888,587,686,740,764,885,9.0
10205,Dalcahue,Los Lagos,14894,7403,7491,2678,3111,3318,3049,2738,8.9
10206,Puqueldón,Los Lagos,4048,2021,2027,623,727,840,880,978,8.6
10207,Queilén,Los Lagos,5690,2859,2831,943,1070,1195,1214,1268,8.5
10208,Quellón,Los Lagos,28460,14339,14121,5637,5956,7148,5553,4166,8.7
10209,Quemchi,Los Lagos,8409,4239,4170,1235,1568,1673,1842,2091,8.6
10210,Quinchao,Los Lagos,7678,3727,3951,1139,1437,1549,1676,1877,8.9
10301,Osorno,Los Lagos,166455,79484,86971,28432,34153,37336,32646,33888,10.2
10302,Comuna 10302,Los Lagos,8865,4517,4348,1480,1668,1742,1842,2133,8.9
10303,Comuna 10303,Los Lagos,19542,9515,10027,3294,3709,3722,3955,4862,9.0
