id,nombre,cadena,direccion,comuna,region,lat,lon,tipo,telefono,horario
h6675,ACEVEDO,Independiente,"Exequiel Fernandez 175, Local 6,",Ñuñoa,Metropolitana,-33.455951,-70.599893,Privada,,Semanal Lunes - Viernes: 09:00 a 18:00 hrs. Sábado: 09:00 a 14:00 hrs. Domingo: Cerrado
h8106,AGUIRRE,Independiente,"Avenida Francisco Bilbao 3088,",Providencia,Metropolitana,-33.431708,-70.58528,Privada,,Semanal Lunes - Viernes: 10:00 a 19:00 hrs. Sábado: 10:00 a 14:00 hrs. Domingo: Cerrado
h7195,AGUIRRE,Independiente,"Avenida Irarrazaval N° 1546,",Ñuñoa,Metropolitana,-33.452818,-70.61457,Privada,,Semanal Lunes - Viernes: 09:00 a 19:00 hrs. Sábado: 10:00 a 14:00 hrs. Domingo: Cerrado
h11721,Ahumada,Ahumada,"Avenida Irarrazaval 3115,",Ñuñoa,Metropolitana,-33.455128,-70.598434,Privada,,Semanal Lunes - Viernes: 07:30 a 22:00 hrs. Sábado: 08:30 a 22:00 hrs. Domingo: 08:30 a 18:00 hrs. Festivos: 10:00 a 18:00 hrs.
h1318,AHUMADA,Ahumada,"Av. Irarrazaval 2928. Interior Lider,",Ñuñoa,Metropolitana,-33.454501,-70.600622,Privada,,Semanal Lunes - Sábado: 08:30 a 22:30 hrs. Domingo: 09:00 a 22:30 hrs.
h5817,AHUMADA,Ahumada,"Avenida El Bosque 164,",Providencia,Metropolitana,-33.421769,-70.598369,Privada,,Semanal Lunes - Viernes: 08:00 a 21:00 hrs. Sábado - Domingo: 09:00 a 21:00 hrs. Festivos: 09:00 a 21:00 hrs.
h1319,AHUMADA,Ahumada,"Avenida Pedro De Valdivia 2523,",Ñuñoa,Metropolitana,-33.445854,-70.60633,Privada,,Semanal Lunes - Viernes: 08:00 a 22:30 hrs. Sábado: 10:00 a 21:30 hrs. Domingo: 10:30 a 21:30 hrs. Festivos: 10:30 a 21:30 hrs.
h5820,AHUMADA,Ahumada,"Andrés Bello 2447, Local 192, Costanera Center,",Providencia,Metropolitana,-33.418062,-70.607317,Privada,,Semanal Lunes - Domingo: 09:00 a 22:00 hrs. Festivos: 09:00 a 22:00 hrs.
h12392,AHUMADA,Ahumada,"Avenida Providencia 2663,",Providencia,Metropolitana,-33.417865,-70.602468,Privada,,Semanal Lunes - Viernes: 08:30 a 21:00 hrs. Sábado: 09:00 a 20:00 hrs. Domingo: 10:00 a 20:00 hrs. Festivos: 10:00 a 20:00 hrs.
h1321,AHUMADA,Ahumada,"Pedro De Valdivia 3774,",Ñuñoa,Metropolitana,-33.457276,-70.605386,Privada,,Semanal Lunes - Sábado: 09:00 a 22:00 hrs. Domingo: Cerrado
h1322,AHUMADA,Ahumada,"Simon Bolivar 3756,",Ñuñoa,Metropolitana,-33.448486,-70.591267,Privada,,Semanal Lunes - Viernes: 08:00 a 00:00 hrs. Sábado: 09:00 a 00:00 hrs. Domingo: Cerrado
h1323,AHUMADA,Ahumada,"Simon Bolivar 4800 L- 115,",Ñuñoa,Metropolitana,-33.448271,-70.58056,Privada,,Semanal Lunes - Sábado: 09:00 a 22:00 hrs. Domingo: 10:00 a 22:00 hrs.
h1299,AHUMADA,Ahumada,"Salvador 1866,",Ñuñoa,Metropolitana,-33.450133,-70.621565,Privada,,Semanal Lunes - Domingo: 08:30 a 21:30 hrs. Festivos: 08:30 a 21:30 hrs.
h1324,AHUMADA,Ahumada,"Sucre 3250,",Ñuñoa,Metropolitana,-33.447787,-70.597554,Privada,,Semanal Lunes - Sábado: 08:00 a 23:00 hrs. Domingo: 09:00 a 23:00 hrs.
h1437,AHUMADA,Ahumada,"11 De Septiembre 1313,",Providencia,Metropolitana,-33.429506,-70.61957,Privada,,Semanal Lunes - Viernes: 08:00 a 23:00 hrs. Sábado: 09:00 a 21:00 hrs. Domingo: Cerrado
h1438,AHUMADA,Ahumada,"Av. Andres Bello 2447. Interior Costanera Center,",Providencia,Metropolitana,-33.417668,-70.608283,Privada,,Semanal Lunes - Sábado: 08:30 a 22:00 hrs. Domingo: 09:00 a 22:00 hrs. Festivos: 09:00 a 22:00 hrs.
h11289,AHUMADA,Ahumada,"Calle Ricardo Lyon 3154,",Ñuñoa,Metropolitana,-33.450169,-70.602103,Privada,,Semanal Lunes - Sábado: 09:00 a 21:00 hrs. Domingo: Cerrado
h1440,AHUMADA,Ahumada,"Francisco Bilbao 2489,",Providencia,Metropolitana,-33.436597,-70.599078,Privada,,Semanal Lunes - Sábado: 08:30 a 22:30 hrs. Domingo: 09:00 a 22:00 hrs. Festivos: 09:00 a 22:00 hrs.
h1441,AHUMADA,Ahumada,"Francisco Bilbao 3785,",Providencia,Metropolitana,-33.431708,-70.583843,Privada,,Semanal Lunes - Sábado: 08:00 a 00:00 hrs. Domingo: 10:00 a 22:00 hrs.
h1442,AHUMADA,Ahumada,"La Concepcion 135,",Providencia,Metropolitana,-33.424527,-70.6159,Privada,,Semanal Lunes - Viernes: 08:00 a 22:00 hrs. Sábado: 08:30 a 16:00 hrs. Domingo: Cerrado
h1444,AHUMADA,Ahumada,"Pedro De Valdivia 1885,",Providencia,Metropolitana,-33.439533,-70.607918,Privada,,Semanal Lunes - Sábado: 08:00 a 22:00 hrs. Domingo: 09:00 a 22:00 hrs.
h1314,AHUMADA,Ahumada,"Campo De Deportes 156,",Ñuñoa,Metropolitana,-33.45502,-70.609098,Privada,,Semanal Lunes - Viernes: 08:00 a 23:00 hrs. Sábado: 09:00 a 23:00 hrs. Domingo: 10:00 a 20:00 hrs.
h11534,AHUMADA,Ahumada,"Avenida Providencia 2208,",Providencia,Metropolitana,-33.421518,-70.60854,Privada,,Semanal Lunes - Viernes: 08:00 a 21:00 hrs. Sábado: 09:00 a 18:00 hrs. Domingo: Cerrado
h1445,AHUMADA,Ahumada,"Av. Providencia 2001,",Providencia,Metropolitana,-33.423578,-70.612424,Privada,,Semanal Lunes - Sábado: 08:00 a 22:00 hrs. Domingo: Cerrado
h1315,AHUMADA,Ahumada,"Emilia Tellez 5593,",Ñuñoa,Metropolitana,-33.441485,-70.572899,Privada,,Semanal Lunes - Viernes: 08:00 a 23:00 hrs. Sábado: 09:00 a 23:00 hrs. Domingo: Cerrado
h4277,AHUMADA,Ahumada,"Av. Jose Pedro Alessandri 1166. Local 4014. Portal ñuñoa,",Ñuñoa,Metropolitana,-33.464848,-70.598262,Privada,,Semanal Lunes - Domingo: 09:00 a 22:00 hrs. Festivos: 09:00 a 22:00 hrs.
h1448,AHUMADA,Ahumada,"Rancagua 0180,",Providencia,Metropolitana,-33.441002,-70.630406,Privada,,Semanal Lunes - Sábado: 08:00 a 22:30 hrs. Domingo: 09:00 a 22:00 hrs.
h1316,AHUMADA,Ahumada,"Av. Grecia 245. Interior Lider,",Ñuñoa,Metropolitana,-33.455307,-70.627123,Privada,,Semanal Lunes - Sábado: 08:00 a 22:00 hrs. Domingo: 09:00 a 21:30 hrs. Festivos: 09:00 a 21:30 hrs.
h10958,AHUMADA,Ahumada,"Avenida Andres Bello 2447,",Providencia,Metropolitana,-33.417811,-70.607811,Privada,,Semanal Lunes - Sábado: 08:00 a 21:00 hrs. Domingo: 09:00 a 21:00 hrs. Festivos: 09:00 a 21:00 hrs.
h1449,AHUMADA,Ahumada,"Salvador 89,",Providencia,Metropolitana,-33.434663,-70.6262,Privada,,Semanal Lunes - Viernes: 08:00 a 22:00 hrs. Sábado: 08:00 a 17:00 hrs. Domingo: Cerrado
h1317,AHUMADA,Ahumada,"Avenida Grecia 3031,",Ñuñoa,Metropolitana,-33.464634,-70.600065,Privada,,Semanal Lunes - Viernes: 08:00 a 23:00 hrs. Sábado: 09:00 a 23:00 hrs. Domingo: Cerrado
h6957,AMABIEN,Independiente,"Calle Pedro De Oña 031,",Ñuñoa,Metropolitana,-33.454018,-70.629633,Privada,,Semanal Lunes - Viernes: 10:00 a 20:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h7336,Amapolas,Independiente,"Avenida Francisco Bilbao N° 2948, Locales 3 Y 4,",Providencia,Metropolitana,-33.434681,-70.588499,Privada,,Semanal Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h1453,ARAVIL,Independiente,"Providencia 1773,",Providencia,Metropolitana,-33.426193,-70.614763,Privada,,Semanal Lunes - Viernes: 09:30 a 21:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h1454,ASODI,Independiente,"Rancagua 250,",Providencia,Metropolitana,-33.440787,-70.629569,Privada,,Semanal Lunes - Viernes: 09:00 a 18:00 hrs. Sábado y Domingo: Cerrado
h12524,Aurora,Independiente,"Avenida General Bustamante 751,",Ñuñoa,Metropolitana,-33.451816,-70.629397,Privada,,Semanal Lunes - Viernes: 09:00 a 21:00 hrs. Sábado: 09:00 a 20:00 hrs. Domingo: Cerrado
h7912,BIOALBA,Independiente,"Avenida Providencia 2633,",Providencia,Metropolitana,-33.418671,-70.60191,Privada,,Semanal Lunes - Viernes: 09:00 a 18:30 hrs. Sábado: 10:00 a 13:00 hrs. Domingo: Cerrado
h6759,BIOCUBA,Independiente,"Pedro De Valdivia N°331,",Providencia,Metropolitana,-33.426569,-70.613583,Privada,,Semanal Lunes - Viernes: 09:30 a 18:00 hrs. Sábado: 10:00 a 14:00 hrs. Domingo: Cerrado
h1455,BIOFORMULA,Independiente,"General Flores 38,",Providencia,Metropolitana,-33.427715,-70.618561,Privada,,Semanal Lunes: 08:30 a 21:30 hrs. Martes: 08:30 a 20:00 hrs. Miércoles - Viernes: 08:30 a 22:00 hrs. Sábado: 09:00 a 14:00 hrs. Domingo: Cerrado
h4374,BIOSPHARE,Independiente,"Guarda Vieja 27,",Providencia,Metropolitana,-33.423005,-70.611029,Privada,,Semanal Lunes - Viernes: 10:00 a 19:30 hrs. Sábado - Domingo: 10:00 a 14:00 hrs.
h1326,BLANCO,Independiente,"Hamburgo 1065,",Ñuñoa,Metropolitana,-33.444636,-70.577212,Privada,,Semanal Lunes - Sábado: 11:00 a 15:00 y 17:00 a 22:00 hrs. Domingo: Cerrado
h7909,CAPAX,Independiente,"Irarrazaval 1642, Local 4,",Ñuñoa,Metropolitana,-33.452621,-70.613669,Privada,,Semanal Lunes - Viernes: 10:00 a 21:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h7432,CEM,Independiente,"Vicuña Mackenna 210,",Providencia,Metropolitana,-33.444099,-70.633024,Privada,,Semanal Lunes - Viernes: 09:15 a 13:00 y 13:45 a 17:30 hrs. Sábado y Domingo: Cerrado
h8184,CENTRAL,Independiente,"Providencia 2372, Local 6,",Providencia,Metropolitana,-33.419709,-70.606588,Privada,,Semanal Lunes - Sábado: 10:00 a 20:00 hrs. Domingo: Cerrado
h11028,Central,Independiente,"Avenida Providencia 2372,",Providencia,Metropolitana,-33.419924,-70.606545,Privada,,Semanal Lunes - Sábado: 10:00 a 20:00 hrs. Domingo: Cerrado
h5309,CENTRAL DE HOMEOPATÍA,Independiente,"Avenida Suecia 3598,",Ñuñoa,Metropolitana,-33.453481,-70.599957,Privada,,Semanal Lunes - Sábado: 09:30 a 20:00 hrs. Domingo: Cerrado
h1481,CESFAR,Independiente,"General Holley 2371,",Providencia,Metropolitana,-33.419405,-70.607317,Privada,,Semanal Lunes - Viernes: 09:00 a 19:00 hrs. Sábado: 00:00 a 00:00 hrs. Domingo: Cerrado
h7472,CHILE,Independiente,"Zañartu N° 1100, Local 4,",Ñuñoa,Metropolitana,-33.472814,-70.620943,Privada,,Semanal Lunes - Viernes: 10:00 a 19:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h6122,CHILEFARMA,Independiente,"Los Leones 1458, Local 103,",Providencia,Metropolitana,-33.432604,-70.601824,Privada,,Semanal Lunes - Viernes: 10:00 a 21:00 hrs. Sábado: 10:00 a 15:00 hrs. Domingo: Cerrado
h7298,CONSTITUCION,Independiente,"Av. Nueva Providencia 2600-2610,",Providencia,Metropolitana,-33.417829,-70.602983,Privada,,Semanal Lunes - Viernes: 10:00 a 19:00 hrs. Sábado: 10:00 a 14:00 hrs. Domingo: Cerrado
h6604,COOPERCARAB,Independiente,"Avenida Antonio Varas 2519,",Ñuñoa,Metropolitana,-33.450276,-70.610171,Privada,,Semanal Lunes - Jueves: 08:30 a 18:30 hrs. Viernes: 08:30 a 16:00 hrs. Sábado y Domingo: Cerrado
h1338,CRUZ VERDE,Cruz Verde,"Avenida Jose Pedro Alessandri 331,",Ñuñoa,Metropolitana,-33.458207,-70.598326,Privada,,Semanal Lunes - Viernes: 09:00 a 22:00 hrs. Sábado - Domingo: 10:00 a 22:00 hrs.
h1474,CRUZ VERDE,Cruz Verde,"Ricardo Lyon 62,",Providencia,Metropolitana,-33.422467,-70.60957,Privada,,Semanal Lunes - Viernes: 09:00 a 22:00 hrs. Sábado: 09:30 a 21:30 hrs. Domingo: 10:30 a 21:30 hrs.
h1339,CRUZ VERDE,Cruz Verde,"Av. Ossa 1220,",Ñuñoa,Metropolitana,-33.442756,-70.57262,Privada,,Semanal Lunes - Sábado: 08:30 a 23:00 hrs. Domingo: 10:00 a 22:30 hrs. Festivos: 10:00 a 22:30 hrs.
h11774,CRUZ VERDE,Cruz Verde,"Avenida Providencia 03,",Providencia,Metropolitana,-33.437528,-70.634998,Privada,,Semanal Lunes - Viernes: 10:30 a 19:30 hrs. Sábado y Domingo: Cerrado
h4796,CRUZ VERDE,Cruz Verde,"Avenida Francisco Bilbao 2851,",Providencia,Metropolitana,-33.435594,-70.591653,Privada,,Semanal Lunes - Viernes: 08:30 a 22:00 hrs. Sábado: 09:30 a 22:00 hrs. Domingo: 10:00 a 21:00 hrs. Festivos: 10:00 a 21:00 hrs.
h1475,CRUZ VERDE,Cruz Verde,"Salvador 42,",Providencia,Metropolitana,-33.43409,-70.626329,Privada,,Semanal Lunes - Viernes: 08:00 a 21:00 hrs. Sábado: 09:00 a 15:00 hrs. Domingo: Cerrado
h1340,CRUZ VERDE,Cruz Verde,"Avenida Pedro De Valdivia 2520,",Ñuñoa,Metropolitana,-33.445567,-70.606116,Privada,,Semanal Lunes - Sábado: 08:30 a 18:00 hrs. Domingo: Cerrado
h4470,CRUZ VERDE,Cruz Verde,"Avenida Irarrazaval 2401, Local 13,",Ñuñoa,Metropolitana,-33.454089,-70.606159,Privada,,Semanal Lunes - Viernes: 08:30 a 22:00 hrs. Sábado: 09:00 a 21:00 hrs. Domingo: 10:00 a 20:00 hrs. Festivos: 10:00 a 20:00 hrs.
h4797,CRUZ VERDE,Cruz Verde,"Las Bellotas 182,",Providencia,Metropolitana,-33.422145,-70.608218,Privada,,Semanal Lunes - Viernes: 08:00 a 22:00 hrs. Sábado: 09:30 a 21:00 hrs. Domingo: 10:00 a 21:00 hrs. Festivos: 10:00 a 21:00 hrs.
h4262,CRUZ VERDE,Cruz Verde,"Dublé Almeyda 4231,",Ñuñoa,Metropolitana,-33.457974,-70.586053,Privada,,Semanal Lunes - Viernes: 09:00 a 22:00 hrs. Sábado: 09:30 a 21:30 hrs. Domingo: 10:30 a 21:00 hrs. Festivos: 10:30 a 21:00 hrs.
